id,category,sender,recipient,timestamp,message
1,Family,Uncle,Sis,2025-08-03 01:17:57,Have you eaten? :)
2,Work/Colleague,Raj (PM),Client,2025-11-10 02:58:06,Reminder: submit timesheets.
3,Friend,Alex,Taylor,2025-04-24 22:21:13,What's the plan this weekend?...
4,Couple,You,You,2025-06-03 20:15:45,Can't stop thinking about you.!
5,Friend,Sam,Sam,2025-10-06 17:18:34,Let's plan a trip soon!!
6,Work/Colleague,Liam (QA),Team,2025-02-24 01:50:05,Who will cover the support shift???
7,Mixed/Generic,User1,Contact,2025-01-07 07:51:36,I can't believe this happened! ğŸ˜‚
8,Work/Colleague,Chris (Lead),All,2025-11-01 22:04:55,I'll be WFH tomorrow.
9,Work/Colleague,Priya (Dev),Team,2025-07-05 13:52:17,Meeting moved to 3 PM.!
10,Family,Dad,Sis,2025-08-09 20:39:33,Don't forget your jacket! - can't wait
11,Work/Colleague,Chris (Lead),All,2025-07-23 00:25:49,Meeting moved to 3 PM....
12,Couple,Love,You,2025-10-27 22:02:25,Can't stop thinking about you. - can't wait
13,Work/Colleague,Emma (HR),You,2025-08-08 09:43:45,I'll be WFH tomorrow.
14,Work/Colleague,Priya (Dev),Client,2024-12-30 13:40:24,I'll be WFH tomorrow.!
15,Friend,Taylor,Riley,2025-04-19 09:08:02,Did you watch that new series?ğŸ™
16,Couple,Partner,Partner,2025-11-01 02:23:15,You always make me smile â¤ï¸
17,Friend,Morgan,Sam,2025-05-13 08:41:02,Did you watch that new series?!
18,Mixed/Generic,User2,Contact,2024-12-12 02:12:32,Thanks a lot!
19,Family,Sis,Sis,2025-06-27 14:33:01,Take care of the dog while I'm away.
20,Friend,Riley,Jordan,2025-10-01 07:36:47,"Hey, are you free tonight?..."
21,Friend,Taylor,Jordan,2025-09-03 10:44:29,What's the plan this weekend? - can't wait
22,Mixed/Generic,User1,Contact,2025-03-20 05:40:14,Thanks a lot! - can't wait
23,Friend,Riley,Taylor,2025-07-24 09:43:22,Let's plan a trip soon!
24,Mixed/Generic,Contact,Group,2025-02-26 01:48:03,"BRB, phone's dying."
25,Friend,Jordan,Riley,2025-01-18 14:58:25,I aced the presentation today!...
26,Mixed/Generic,Contact,Contact,2024-11-24 19:01:49,Thanks a lot! :)
27,Couple,Honey,Partner,2025-07-21 22:11:55,Did you take your meds today?
28,Friend,Taylor,Taylor,2025-10-19 07:24:07,"Hey, are you free tonight?"
29,Friend,Alex,Casey,2025-03-06 21:42:51,Wanna grab coffee tomorrow?
30,Friend,Taylor,Jordan,2025-02-02 13:10:13,I aced the presentation today!ğŸ™
31,Friend,Morgan,Taylor,2025-10-06 06:23:12,I aced the presentation today!
32,Couple,Honey,Partner,2024-12-15 06:35:17,Let's have a movie night in.
33,Mixed/Generic,User1,Group,2025-09-30 21:19:35,"BRB, phone's dying. - can't wait"
34,Friend,Jamie,Jordan,2025-08-23 20:14:17,What's the plan this weekend?!
35,Couple,Honey,You,2024-12-26 10:41:51,"Miss you, come home safe."
36,Work/Colleague,Priya (Dev),All,2025-03-21 12:51:14,Meeting moved to 3 PM.!
37,Friend,Alex,Jordan,2025-11-23 16:09:53,Can you pick me up at 6?!
38,Friend,Riley,Morgan,2024-12-21 12:39:38,I aced the presentation today!...
39,Friend,Taylor,Alex,2025-02-21 04:09:37,That meme you sent cracked me up ğŸ˜‚ğŸ™
40,Work/Colleague,Raj (PM),Client,2025-02-27 00:38:51,Can you review the report?...
41,Friend,Sam,Jordan,2025-01-25 03:54:19,What's the plan this weekend?
42,Family,Bro,Mom,2025-07-21 09:18:06,Dinner at mom's on Sunday.ğŸ™
43,Family,Mom,Bro,2025-02-08 11:20:44,Can you pick up some milk?ğŸ™
44,Couple,Partner,Partner,2025-07-12 15:58:10,Can't stop thinking about you. :)
45,Friend,Jamie,Casey,2025-11-20 13:41:38,That meme you sent cracked me up ğŸ˜‚
46,Family,Mom,Mom,2025-08-07 11:57:39,Can you pick up some milk?...
47,Friend,Sam,Taylor,2025-07-03 00:38:10,Let's plan a trip soon! - can't wait
48,Couple,Bae,You,2025-06-25 02:36:29,Can't wait to see you later....
49,Mixed/Generic,User2,Friend,2025-02-15 00:43:12,On my way ğŸš—
50,Friend,Taylor,Casey,2024-12-08 07:17:16,Call me when you're free. :)
51,Work/Colleague,Emma (HR),You,2025-10-08 07:17:10,Reminder: submit timesheets.
52,Couple,You,You,2025-09-19 07:10:59,Can't stop thinking about you. - can't wait
53,Mixed/Generic,Contact,Group,2024-11-28 14:48:29,On my way ğŸš—...
54,Family,Mom,Dad,2025-11-06 16:56:13,Remember to call your grandmother....
55,Family,Bro,Dad,2025-06-20 17:06:11,"Bring umbrellas, it's raining here."
56,Work/Colleague,Liam (QA),All,2024-12-19 02:38:13,Can you review the report? :)
57,Couple,Honey,You,2025-09-02 23:56:00,Can't wait to see you later. :)
58,Work/Colleague,Priya (Dev),You,2024-12-17 21:20:39,Can you review the report?!
59,Friend,Morgan,Alex,2025-08-03 23:06:48,Wanna grab coffee tomorrow???
60,Work/Colleague,Liam (QA),You,2025-08-03 05:31:05,Any updates on the ticket? :)
61,Family,Sis,Sis,2025-07-05 17:35:41,Are you coming home this weekend?
62,Family,Uncle,Sis,2025-09-26 20:52:09,Are you coming home this weekend?
63,Friend,Alex,Sam,2025-04-16 17:47:37,That meme you sent cracked me up ğŸ˜‚ğŸ™
64,Work/Colleague,Emma (HR),Team,2025-02-02 23:27:32,I'll be WFH tomorrow.!
65,Friend,Alex,Taylor,2025-04-19 03:49:55,Can you pick me up at 6? - can't wait
66,Mixed/Generic,Contact,Group,2025-06-24 11:54:57,That sounds perfect.
67,Couple,Bae,Partner,2025-02-15 01:44:43,Let's have a movie night in. ğŸ˜‚
68,Friend,Jordan,Riley,2025-02-18 06:21:53,Can you pick me up at 6?!
69,Couple,Honey,Partner,2025-04-12 14:16:52,You always make me smile â¤ï¸??
70,Family,Bro,Dad,2025-07-02 11:36:45,Take care of the dog while I'm away.
71,Family,Sis,Mom,2024-12-15 19:04:39,Can you pick up some milk? :)
72,Friend,Jordan,Alex,2025-07-22 13:04:49,"I'm running late, save me a seat."
73,Family,Bro,Bro,2025-08-17 16:23:58,Remember to call your grandmother.ğŸ™
74,Couple,Partner,You,2025-04-21 22:24:43,You always make me smile â¤ï¸
75,Friend,Jamie,Alex,2025-07-21 01:57:40,What's the plan this weekend?...
76,Couple,Love,Partner,2025-01-15 12:00:04,I packed your favorite snack.??
77,Couple,Honey,You,2025-04-08 20:56:34,Can't wait to see you later.??
78,Work/Colleague,Chris (Lead),Client,2025-07-07 14:21:52,Do you have the client notes? :)
79,Friend,Taylor,Riley,2025-06-14 10:42:48,That meme you sent cracked me up ğŸ˜‚ - can't wait
80,Friend,Taylor,Morgan,2024-11-28 22:35:23,Did you watch that new series?
81,Friend,Casey,Jamie,2025-10-24 22:50:56,Can you pick me up at 6?!
82,Work/Colleague,Chris (Lead),Team,2025-05-14 13:00:48,Let's sync after lunch.ğŸ™
83,Friend,Riley,Morgan,2025-02-22 10:29:44,Let's plan a trip soon!!
84,Work/Colleague,Emma (HR),All,2025-04-15 12:41:52,Great job on the demo! ğŸ˜‚
85,Friend,Morgan,Jordan,2025-09-20 07:43:26,Let's plan a trip soon!??
86,Family,Aunt,Mom,2024-12-30 14:46:27,Are you coming home this weekend?
87,Friend,Jordan,Alex,2025-05-14 18:27:40,I aced the presentation today! ğŸ˜‚
88,Friend,Casey,Morgan,2025-04-23 21:11:41,Let's plan a trip soon! ğŸ˜‚
89,Work/Colleague,Raj (PM),Team,2025-08-02 06:42:31,Any updates on the ticket? - can't wait
90,Friend,Alex,Taylor,2025-11-14 07:45:27,"Hey, are you free tonight? :)"
91,Friend,Jamie,Sam,2025-08-05 13:26:54,Did you watch that new series?ğŸ™
92,Family,Dad,Mom,2025-06-19 02:26:38,Don't forget your jacket!
93,Family,Aunt,Bro,2025-08-16 03:36:45,How's school/work going?!
94,Family,Mom,Sis,2025-09-24 09:46:29,Dinner at mom's on Sunday.ğŸ™
95,Work/Colleague,Chris (Lead),Client,2025-10-20 11:57:29,I'll be WFH tomorrow. - can't wait
96,Family,Bro,Bro,2025-04-17 17:11:34,Have you eaten?
97,Family,Uncle,Dad,2025-08-26 11:23:00,Send the grocery list.!
98,Mixed/Generic,Contact,Contact,2025-03-31 14:31:15,Happy birthday! ğŸ‰??
99,Work/Colleague,Liam (QA),You,2025-10-11 20:13:27,Who will cover the support shift? :)
100,Work/Colleague,Emma (HR),Client,2025-11-10 12:22:57,Great job on the demo! - can't wait
101,Work/Colleague,Emma (HR),All,2025-07-15 17:59:18,Please share the slides by EOD. - can't wait
102,Friend,Riley,Alex,2025-08-20 03:15:45,Call me when you're free....
103,Friend,Jamie,Taylor,2024-12-29 12:30:34,Can you pick me up at 6???
104,Couple,You,Partner,2025-05-01 21:31:16,"Good morning, love â˜€ï¸ :)"
105,Couple,Bae,Partner,2025-02-26 17:51:50,Love you to the moon....
106,Couple,Bae,Partner,2025-07-09 19:12:57,Can't wait to see you later.??
107,Friend,Taylor,Casey,2025-02-23 23:38:19,Wanna grab coffee tomorrow?
108,Friend,Riley,Riley,2025-08-17 19:35:37,I aced the presentation today!
109,Friend,Riley,Alex,2025-09-21 20:23:32,Did you watch that new series?...
110,Friend,Riley,Jordan,2025-10-04 05:55:59,"Hey, are you free tonight???"
111,Family,Bro,Bro,2025-08-23 04:30:32,Send the grocery list. - can't wait
112,Friend,Sam,Sam,2025-03-19 03:40:56,I aced the presentation today!!
113,Family,Dad,Dad,2025-06-23 03:16:42,Have you eaten?ğŸ™
114,Mixed/Generic,Contact,Group,2025-01-23 07:51:49,"BRB, phone's dying.ğŸ™"
115,Friend,Morgan,Jamie,2025-06-25 08:57:07,What's the plan this weekend???
116,Mixed/Generic,Contact,Contact,2025-01-17 02:46:00,Happy birthday! ğŸ‰
117,Mixed/Generic,Contact,Friend,2024-12-22 03:25:25,Sending the location now. ğŸ˜‚
118,Friend,Sam,Jordan,2025-04-29 13:58:38,Did you watch that new series?
119,Family,Sis,Mom,2025-06-30 20:05:10,Send the grocery list. :)
120,Work/Colleague,Raj (PM),All,2025-01-08 08:54:22,Any updates on the ticket? ğŸ˜‚
121,Family,Bro,Mom,2025-08-01 06:48:00,Dinner at mom's on Sunday....
122,Friend,Jordan,Sam,2025-09-01 19:10:47,That meme you sent cracked me up ğŸ˜‚
123,Family,Sis,Bro,2025-03-30 19:18:29,Can you pick up some milk?
124,Family,Aunt,Bro,2025-10-14 08:36:21,How's school/work going???
125,Friend,Casey,Riley,2025-10-09 22:02:41,Can you pick me up at 6?
126,Mixed/Generic,Contact,Friend,2025-02-03 04:54:53,See you soon. ğŸ˜‚
127,Work/Colleague,Emma (HR),Client,2025-08-24 09:04:06,Please share the slides by EOD. ğŸ˜‚
128,Couple,You,Partner,2025-04-29 18:14:39,I packed your favorite snack. - can't wait
129,Couple,Partner,Partner,2024-12-04 12:20:24,"Miss you, come home safe.!"
130,Friend,Alex,Jamie,2025-06-16 21:11:24,Can you pick me up at 6?
131,Couple,Love,You,2025-04-02 15:20:01,Let's have a movie night in....
132,Friend,Casey,Jamie,2025-10-29 22:58:06,What's the plan this weekend???
133,Friend,Riley,Jamie,2025-09-24 05:19:43,Did you watch that new series???
134,Mixed/Generic,User1,Contact,2025-06-18 10:19:27,See you soon.
135,Friend,Sam,Taylor,2025-04-03 02:06:10,Can you pick me up at 6?
136,Family,Bro,Sis,2024-11-28 20:25:28,"Bring umbrellas, it's raining here...."
137,Couple,Honey,You,2025-02-16 01:06:48,I packed your favorite snack.??
138,Couple,Love,You,2025-07-06 15:16:19,Love you to the moon.
139,Couple,Bae,You,2025-06-25 09:00:35,Can't wait to see you later. ğŸ˜‚
140,Family,Dad,Bro,2025-03-22 17:48:50,Send the grocery list....
141,Couple,Honey,Partner,2025-08-20 21:41:06,Can't wait to see you later. - can't wait
142,Family,Bro,Mom,2025-03-27 16:29:58,Dinner at mom's on Sunday. - can't wait
143,Couple,Honey,You,2025-03-12 08:53:30,Dinner at our place tonight?
144,Couple,Honey,You,2025-04-06 05:49:15,"Miss you, come home safe...."
145,Work/Colleague,Priya (Dev),Team,2025-07-12 18:03:11,Let's sync after lunch.??
146,Family,Uncle,Mom,2024-12-14 10:57:04,Are you coming home this weekend? - can't wait
147,Couple,Honey,You,2025-10-20 21:49:55,Did you take your meds today?ğŸ™
148,Family,Dad,Mom,2025-10-05 07:18:20,How's school/work going?!
149,Work/Colleague,Emma (HR),All,2025-11-11 04:42:18,Meeting moved to 3 PM. ğŸ˜‚
150,Couple,Bae,Partner,2025-04-19 01:04:46,"Good morning, love â˜€ï¸ - can't wait"
151,Friend,Jordan,Jordan,2025-10-15 08:11:19,Can you pick me up at 6?
152,Work/Colleague,Priya (Dev),Client,2025-09-12 21:55:33,Who will cover the support shift?ğŸ™
153,Couple,Honey,Partner,2025-03-31 19:54:26,Can't stop thinking about you.
154,Family,Mom,Bro,2025-01-28 19:29:16,"Bring umbrellas, it's raining here. - can't wait"
155,Family,Uncle,Sis,2025-06-23 23:07:35,Are you coming home this weekend???
156,Mixed/Generic,User1,Friend,2025-02-05 17:18:37,"Sure, works for me.!"
157,Family,Mom,Bro,2025-11-20 09:46:29,How's school/work going? ğŸ˜‚
158,Work/Colleague,Chris (Lead),Client,2025-07-30 08:16:37,Can you review the report? ğŸ˜‚
159,Work/Colleague,Priya (Dev),You,2025-01-08 02:50:31,Great job on the demo!
160,Mixed/Generic,User2,Group,2025-02-01 17:05:43,LOL that's hilarious!
161,Work/Colleague,Liam (QA),You,2025-08-27 23:04:08,Meeting moved to 3 PM.!
162,Friend,Casey,Riley,2025-07-16 12:50:10,What's the plan this weekend?
163,Mixed/Generic,Contact,Group,2025-03-31 03:38:17,Happy birthday! ğŸ‰
164,Friend,Morgan,Casey,2025-05-07 05:52:22,"I'm running late, save me a seat."
165,Friend,Jamie,Casey,2025-01-29 16:30:25,Wanna grab coffee tomorrow? ğŸ˜‚
166,Work/Colleague,Raj (PM),All,2025-11-12 07:49:21,I'll be WFH tomorrow.??
167,Work/Colleague,Liam (QA),All,2025-01-03 13:28:34,Reminder: submit timesheets.
168,Mixed/Generic,Contact,Group,2025-09-15 04:43:43,Happy birthday! ğŸ‰
169,Mixed/Generic,User2,Friend,2025-07-27 10:48:29,Happy birthday! ğŸ‰
170,Friend,Casey,Morgan,2025-09-06 15:16:27,I aced the presentation today!ğŸ™
171,Family,Aunt,Bro,2025-11-08 16:53:20,Send the grocery list. ğŸ˜‚
172,Friend,Taylor,Casey,2024-12-08 17:00:19,I aced the presentation today!
173,Family,Mom,Bro,2025-08-20 01:55:55,Don't forget your jacket! ğŸ˜‚
174,Mixed/Generic,User1,Contact,2024-12-31 07:05:47,"Sure, works for me. :)"
175,Family,Mom,Sis,2025-09-21 09:49:26,Have you eaten? :)
176,Friend,Taylor,Taylor,2025-06-10 01:00:26,What's the plan this weekend? :)
177,Work/Colleague,Raj (PM),You,2025-09-19 10:42:39,Who will cover the support shift?
178,Friend,Sam,Alex,2025-11-17 17:20:11,Did you watch that new series?
179,Work/Colleague,Chris (Lead),You,2025-08-27 20:43:04,Great job on the demo!
180,Friend,Sam,Sam,2025-04-09 17:11:53,Can you pick me up at 6???
181,Family,Bro,Dad,2025-11-02 06:23:23,Remember to call your grandmother.ğŸ™
182,Family,Uncle,Mom,2025-03-24 15:45:26,Send the grocery list.
183,Couple,Honey,Partner,2025-10-14 18:39:07,"Miss you, come home safe."
184,Family,Dad,Sis,2025-01-04 09:04:02,Remember to call your grandmother.ğŸ™
185,Family,Bro,Sis,2025-03-11 08:20:12,Don't forget your jacket!??
186,Couple,Love,You,2025-04-07 22:03:37,"Miss you, come home safe.!"
187,Couple,Honey,Partner,2025-06-17 14:50:30,I packed your favorite snack.
188,Couple,Bae,You,2025-10-22 03:03:29,Can't stop thinking about you.??
189,Work/Colleague,Emma (HR),Team,2025-09-19 10:07:22,Meeting moved to 3 PM. - can't wait
190,Friend,Casey,Sam,2025-05-27 14:58:51,What's the plan this weekend?!
191,Work/Colleague,Liam (QA),You,2025-10-02 09:20:18,Can you review the report? - can't wait
192,Family,Uncle,Bro,2025-09-30 17:37:56,"Bring umbrellas, it's raining here. :)"
193,Work/Colleague,Raj (PM),You,2025-08-01 14:45:22,I'll be WFH tomorrow.ğŸ™
194,Work/Colleague,Chris (Lead),Team,2024-12-23 20:38:32,Who will cover the support shift?ğŸ™
195,Friend,Riley,Casey,2025-11-21 23:46:29,That meme you sent cracked me up ğŸ˜‚ - can't wait
196,Work/Colleague,Emma (HR),Team,2025-01-05 05:15:48,Who will cover the support shift?
197,Friend,Taylor,Morgan,2025-04-06 17:58:05,What's the plan this weekend?!
198,Friend,Casey,Sam,2025-09-07 00:38:54,That meme you sent cracked me up ğŸ˜‚
199,Work/Colleague,Raj (PM),You,2024-12-21 14:56:30,Can you review the report???
200,Couple,Honey,Partner,2025-03-08 02:14:08,I packed your favorite snack. :)
201,Couple,Bae,Partner,2024-12-18 19:09:01,"Miss you, come home safe...."
202,Friend,Alex,Alex,2025-06-23 22:41:20,Can you pick me up at 6? :)
203,Work/Colleague,Liam (QA),You,2025-11-21 12:16:13,Do you have the client notes?
204,Work/Colleague,Priya (Dev),Client,2024-11-29 22:00:05,Please share the slides by EOD....
205,Family,Mom,Bro,2025-04-16 05:41:50,Don't forget your jacket!
206,Couple,Bae,Partner,2025-05-01 07:04:22,"Miss you, come home safe.ğŸ™"
207,Couple,Honey,You,2025-08-29 07:52:28,"Miss you, come home safe. - can't wait"
208,Couple,You,Partner,2025-07-23 14:31:02,Did you take your meds today?
209,Family,Mom,Bro,2025-06-04 22:18:45,Take care of the dog while I'm away. ğŸ˜‚
210,Couple,You,You,2025-03-08 23:19:11,Dinner at our place tonight?...
211,Mixed/Generic,User2,Contact,2025-07-28 02:38:12,That sounds perfect.
212,Friend,Jordan,Jordan,2025-08-26 07:31:00,"I'm running late, save me a seat."
213,Couple,Love,Partner,2024-12-30 07:14:57,Love you to the moon.ğŸ™
214,Mixed/Generic,Contact,Group,2025-04-14 03:53:36,That sounds perfect.
215,Couple,Bae,You,2025-03-11 03:40:42,Can't stop thinking about you. - can't wait
216,Couple,You,You,2025-07-02 03:35:09,I packed your favorite snack. - can't wait
217,Family,Aunt,Bro,2025-01-31 10:11:51,Remember to call your grandmother.??
218,Mixed/Generic,User2,Contact,2025-06-13 08:21:07,LOL that's hilarious! :)
219,Couple,You,Partner,2025-06-03 03:18:33,Dinner at our place tonight?
220,Family,Mom,Dad,2025-04-14 11:17:56,"Bring umbrellas, it's raining here.??"
221,Family,Sis,Sis,2025-05-10 15:29:48,"Bring umbrellas, it's raining here. ğŸ˜‚"
222,Work/Colleague,Raj (PM),You,2025-06-10 02:56:19,Who will cover the support shift?
223,Family,Sis,Sis,2025-09-09 18:14:32,Are you coming home this weekend?ğŸ™
224,Friend,Casey,Riley,2025-09-19 08:42:53,Did you watch that new series?!
225,Work/Colleague,Liam (QA),Client,2025-09-20 11:12:51,Meeting moved to 3 PM. - can't wait
226,Friend,Casey,Alex,2025-06-19 23:48:59,Can you pick me up at 6? - can't wait
227,Mixed/Generic,User2,Friend,2025-09-16 00:44:18,That sounds perfect. :)
228,Friend,Alex,Casey,2025-09-18 08:38:04,Wanna grab coffee tomorrow?ğŸ™
229,Couple,Partner,You,2025-11-02 15:25:14,Dinner at our place tonight???
230,Couple,Honey,Partner,2025-07-28 10:56:13,You always make me smile â¤ï¸??
231,Friend,Taylor,Casey,2025-04-13 13:34:13,I aced the presentation today!ğŸ™
232,Work/Colleague,Chris (Lead),Client,2025-08-14 08:21:52,Let's sync after lunch.
233,Friend,Alex,Jamie,2025-02-15 02:38:40,That meme you sent cracked me up ğŸ˜‚ - can't wait
234,Work/Colleague,Raj (PM),You,2025-09-03 20:26:51,Reminder: submit timesheets.
235,Couple,Partner,Partner,2025-08-03 13:57:16,Can't wait to see you later.
236,Work/Colleague,Emma (HR),Team,2025-03-12 16:45:51,Can you review the report?!
237,Friend,Casey,Taylor,2025-06-15 02:46:19,Wanna grab coffee tomorrow?
238,Work/Colleague,Priya (Dev),All,2025-07-01 13:10:41,I'll be WFH tomorrow.
239,Family,Uncle,Bro,2025-01-14 06:11:18,"Bring umbrellas, it's raining here.??"
240,Mixed/Generic,User2,Friend,2025-02-17 08:12:39,LOL that's hilarious!
241,Family,Sis,Dad,2025-09-24 04:38:28,Remember to call your grandmother. ğŸ˜‚
242,Friend,Jamie,Sam,2025-03-14 08:39:11,Call me when you're free.
243,Family,Aunt,Dad,2025-06-28 14:45:05,Take care of the dog while I'm away.
244,Friend,Taylor,Morgan,2024-12-20 03:15:45,Let's plan a trip soon!
245,Family,Mom,Mom,2025-03-30 04:47:40,Don't forget your jacket!!
246,Family,Sis,Mom,2025-10-21 17:49:33,Don't forget your jacket! - can't wait
247,Friend,Casey,Jordan,2025-05-28 10:29:59,Wanna grab coffee tomorrow?
248,Couple,Honey,Partner,2025-09-17 04:04:56,Dinner at our place tonight?
249,Work/Colleague,Raj (PM),You,2025-11-02 23:07:02,Any updates on the ticket? :)
